title,price,location,description,surface,rooms,bedrooms,bathrooms,type,features,property_category,link,image_url,published_time
Apartment for rent. 2 comfortable rooms. Dressing room,"7,000 DH",Sidi Bouknadel,Apartment for rent. 2 comfortable rooms. Dressing room,118 m²,3 Pieces,2 Rooms,3 Bathrooms,For Rent,"Garden, Terrace, Garage, Elevator, Sea views, Pool, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Fireplace, Air conditioning, Heating, Security system, Reinforced Door, 7",Apartment,https://www.mubawab.ma/en/a/8193055/apartment-for-rent-2-comfortable-rooms-dressing-room,https://www.mubawab-media.com/ad/8/193/055F/h/PHOTO-2025-07-15-11-40-22_80793452.avif,
Rent an apartment. Dimension 91 m². Furnished,"4,700 DH",Chefchaouen,Rent an apartment. Dimension 91 m². Furnished,91 m²,4 Pieces,3 Rooms,2 Bathrooms,For Rent,"Elevator, Mountains views, Furnished, Exterior facade, Moroccan lounge, Satellite dish, Air conditioning, Equipped kitchen, Fridge, Oven, TV, Washing machine, Internet",Apartment,https://www.mubawab.ma/en/a/8192050/rent-an-apartment-dimension-91-m%C2%B2-furnished,https://www.mubawab-media.com/ad/8/192/050F/h/photo_17_80782615.avif,
Very nice apartment for rent in Guéliz. 2 rooms. Ample stora...,"18,000 DH","Guéliz, Marrakech",Very nice apartment for rent in Guéliz. 2 rooms. Ample stora...,100 m²,3 Pieces,2 Rooms,2 Bathrooms,For Rent,"Terrace, Garage, Elevator, Mountains views, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Equipped kitchen, Fridge, Oven, TV, 3",Apartment,https://www.mubawab.ma/en/a/8190569/very-nice-apartment-for-rent-in-gu%C3%A9liz-2-rooms-ample-storage-space,https://www.mubawab-media.com/ad/8/190/569F/h/%C2%A9Marwane%20SOBAI_MG_2510_80768150.avif,
Rent an apartment in Ferme Bretonne Hay Arraha. 3 large room...,"10,000 DH","Ferme Bretonne (Hay Arraha), Casablanca",Rent an apartment in Ferme Bretonne Hay Arraha. 3 large room...,100 m²,3 Pieces,2 Rooms,2 Bathrooms,For Rent,"Terrace, Garage, Elevator, Concierge, Box room, Furnished, European lounge, Fireplace, Air conditioning, Security system, Oven, Microwave, Internet",Apartment,https://www.mubawab.ma/en/a/8190169/rent-an-apartment-in-ferme-bretonne-hay-arraha-3-large-rooms-all-comforts-with-fireplace-and-air-conditioning,https://www.mubawab-media.com/ad/8/190/169F/h/WhatsApp%20Image%202025-07-08%20at%2013.44.45_80764360.avif,
Lovely apartment for rent in Anfa. Total area 150 m². Fully...,"19,000 DH","Anfa, Casablanca",Lovely apartment for rent in Anfa. Total area 150 m². Fully...,150 m²,4 Pieces,3 Rooms,3 Bathrooms,For Rent,"Terrace, Garage, Elevator, Concierge, Box room, Furnished, Exterior facade, European lounge, Air conditioning, Heating, Security system, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet",Apartment,https://www.mubawab.ma/en/a/8189512/lovely-apartment-for-rent-in-anfa-total-area-150-m%C2%B2-fully-furnished,https://www.mubawab-media.com/ad/8/189/512F/h/image00025_80757877.avif,
Room for rent in Guéliz. 3 comfortable rooms. Well decorated,"8,700 DH","Guéliz, Marrakech",Room for rent in Guéliz. 3 comfortable rooms. Well decorated,75 m²,3 Pieces,,2 Bathrooms,For Rent,"Garden, Terrace, Garage, Elevator, Pool, Concierge, Box room, Furnished, European lounge, Air conditioning, Security system, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet",Autre,https://www.mubawab.ma/en/a/8188799/room-for-rent-in-gu%C3%A9liz-3-comfortable-rooms-well-decorated,https://www.mubawab-media.com/ad/8/188/799F/h/Emeraude%20salon%202_80751188.avif,
Beautiful room for rent in Hivernage. 3 rooms. Fully furnish...,"35,000 DH","Hivernage, Marrakech",Beautiful room for rent in Hivernage. 3 rooms. Fully furnish...,180 m²,5 Pieces,3 Rooms,3 Bathrooms,For Rent,"Garden, Garage, Elevator, Pool, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Reinforced Door, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet, Pets allowed",Autre,https://www.mubawab.ma/en/a/8188751/beautiful-room-for-rent-in-hivernage-3-rooms-fully-furnished,https://www.mubawab-media.com/ad/8/188/751F/h/IMG_2559_80750577.avif,
Residence Village Cap Ghir,"From 2,158,000 DH","Taghazout, Taghazout",Residence Village Cap Ghir,,,,,For Rent,,Villa,https://www.mubawab.ma/en/p/4459/r%C3%A9sidence-village-cap-ghir,,
Apartment for rent in Maârif Extension. 1 Living area. Cella...,600 DH,"Maârif Extension, Casablanca",Apartment for rent in Maârif Extension. 1 Living area. Cella...,45 m²,1 Piece,1 Room,1 Bathroom,For Rent,"Elevator, Concierge, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Equipped kitchen, Fridge, Oven, TV, Washing machine, Internet",Apartment,https://www.mubawab.ma/en/a/8188005/apartment-for-rent-in-ma%C3%A2rif-extension-1-living-area-cellar,https://www.mubawab-media.com/ad/8/188/005F/h/AYA%20FAVORITE_80744627.avif,
Very nice apartment for rent in Ain Diab. 5 large rooms. Wor...,"13,000 DH","Ain Diab, Casablanca",Very nice apartment for rent in Ain Diab. 5 large rooms. Wor...,195 m²,5 Pieces,3 Rooms,2 Bathrooms,For Rent,"Garden, Terrace, Garage, Sea views, Pool, Concierge, Exterior facade, Moroccan lounge, European lounge, Fireplace, Security system, Equipped kitchen, Oven, Internet, Pets allowed",Apartment,https://www.mubawab.ma/en/a/8137239/very-nice-apartment-for-rent-in-ain-diab-5-large-rooms-working-fireplace-property-with-swimming-pool,https://www.mubawab-media.com/ad/8/137/239F/h/immobilier_plage_location_casablanca_nourreska_appartement_maroc_aindiab%20%2812%29_80221097.avif,
